	{華中}
𰎃	尸至夕夕
𰎅	尸毛日日
𰎇	⺷䒑口毛
𰎇	羊䒑口毛
𰎈	屮又又丨
𰎔	山七丿兀
𰎘	山口儿丶
𰎙	山亻丿又
𰎙	山亻乃乀
𰎚	⺁一口山
𰎛	山人二厶
𰎜	山亠八乂
𰎟	山大人人
𰎠	山一业丿
𰎢	山囗𰀁㇆
𰎤	山忄冖儿
𰎤	山忄冖几
𰎥	山土儿土
𰎥	山土八土
𰎦	山匚乂欠
𰎨	禾九丶山
𰎩	山厂日子
𰎪	山十又目
𰎫	山犭讠犬
𰎬	龵一丰山
𰎰	山尸⺌⺼
𰎰	山尸⺌月
𰎱	山山月月
𰎲	山爿𱼀寸
𰎴	山尸龶夊
𰎵	山口口屮
𰎶	山口口屮
𰎷	山夊口页
𰎸	山⺷䒑口
𰎸	山羊䒑口
𰎹	山十冂犬
𰎺	山戊一心
𰎻	山一戊正
𰎼	山匚口欠
𰎽	山山忄丂
𰎿	山山口工
𰏀	山⺊夕食
𰏁	山⺧儿贝
𰏂	山山口夊
𰏃	川一日一
𰏅	一巛工子
𰏆	巛田冖用
𰏍	𠂇工山土
𰏎	⺶工⺈亅
𰏏	彐丿口巳
𰏘	八冂𰀪丨
𰏚	卅冖巾丿
𰏛	一巾巛田
𰏝	白巾夕卜
𰏞	土𢆉九巾
𰏟	巾门木丷
𰏠	巾木木龰
𰏡	𠂇巾冫心
𰏤	人人一廾
𰏦	干丷干丷
𰏧	⺊尸𠂉ヰ
𰏨	干丷斤丿
𰏬	口口口丷
𰏮	土𢆉勹米
𰏶	广人二厶
𰏷	广木丿厶
𰏼	广卅冖巾
𰏽	广夫丷土
𰏾	广⺁彐殳
𰐀	广丿夫𧘇
𰐁	广丶彐月
𰐂	广卄一夕
𰐃	广土人皿
𰐄	广卄一辶
𰐅	广臼丨一
𰐅	广𦥑丨一
𰐊	一夕刂廾
𰐋	囗口一廾
𰐌	乂乂木廾
𰐌	木乂乂廾
𰐏	弋⺈⺆土
𰐑	弋习习白
𰐒	弋人人日
𰐘	弓口二力
𰐙	弓一弋止
𰐛	弓⺶乚丶
𰐛	弓⺷儿丶
𰐞	弓亠日小
𰐟	弓艹日大
𰐠	一兀弓十
𰐡	亦弓亻貝
𰐢	土儿土弓
𰐢	土八土弓
𰐥	彐米八刀
𰐱	彳上小又
𰐶	彳幺夊止
𰐷	彳冂二又
𰐷	彳日罒又
𰐸	彳日幺土
𰐹	彳上小壬
𰑁	忄二㇉丶
𰑇	心丿一𬺰
𰑔	扌九丶心
𰑗	心丿口乂
𰑛	忄广丿七
𰑝	忄十冂大
𰑡	〢又土心
𰑤	忄宀𠂇厶
𰑨	王一兀心
𰑩	木八厶心
𰑬	忄⺁十贝
𰑯	忄厶人丶
𰑰	忄十冖力
𰑱	忄厂日子
𰑲	土亻壬心
𰑳	忄十冂𢆉
𰑴	一丌一丿
𰑵	卅冖巾心
𰑷	⺈口儿心
𰑸	广夫丷心
𰑹	忄䒑月刂
𰑻	立口丨心
𰑾	忄艹力力
𰒁	禾火心乛
𰒂	忄屮屮心
𰒃	方𠂉斤心
𰒄	米⺀十心
𰒆	忄艹一人
𰒇	忄亻𠂇月
𰒉	忄宀耳又
𰒊	言𠂉十心
𰒋	忄石一乂
𰒌	耳乂凵心
𰒑	忄䒑彐灬
𰒑	忄八一灬
𰒒	氵卅冖心
𰒓	忄乛止𫶧
𰒔	忄龶貝力
𰒗	忄古儿儿
𰒘	士𠃜殳心
𰒙	忄氵卄入
𰒚	立日心口
𰒜	一业心水
𰒝	木口木丿
𰒟	忄覀䒑月
𰒠	八人口心
𰒡	忄雨口口
𰒢	忄⺮罒丶
𰒣	宀口口心
𰒪	一口䒑戈
𰒫	戈七凵日
𰒬	⺊口人戈
𰒮	戊丶木口
𰒯	匚火火戈
𰒰	亠丷冂戈
𰒱	巛日木戈
𰒲	戈口一一
𰒳	戊丶爫大
𰒴	戶方几乂
𰒴	户方几乂
𰒵	户亠丷口
𰒶	戶方戶方
𰒶	户方户方
𰓗	扌厂土丶
𰓘	扌工几丶
𰓚	手𠂇丨子
𰓝	扌リ一巾
𰓠	扌亻二厶
𰓡	扌亻彐丿
𰓢	扌䒑一丶
𰓣	扌宀又丶
𰓤	扌讠𠂉十
𰓥	扌广丿厶
𰓰	手大人人
𰓱	扌〢又土
𰓲	口力刂手
𰓳	扌⺁一巾
𰓴	扌勹王丶
𰓹	扌丶廾丶
𰓿	扌止匕二
𰔀	手艹亻匕
𰔁	扌⺁上小
𰔂	扌䒑大刂
𰔃	手氵土厶
𰔄	乛水三手
𰔅	手丂口一
𰔅	手了口一
𰔇	扌卅冖巾
𰔈	扌十戈口
𰔋	扌口丄贝
𰔌	手艹𠂇口
𰔍	扌爪⺊口
𰔏	扌穴又又
𰔑	手彐𰀁廴
𰔔	扌一夕灬
𰔗	扌斤小大
𰔘	扌月习习
𰔚	扌冖⺈丶
𰔛	扌米⺀十
𰔝	扌厶大水
𰔞	扌厶龶夊
𰔟	手土𢆉丶
𰔠	扌山冂山
𰔡	扌田夊口
𰔢	扌八刀貝
𰔣	扌人一貝
𰔣	扌人丶貝
𰔥	犭虫扌丁
𰔦	扌爫冖ヰ
𰔧	扌⺮工丶
𰔨	扌穴一丶
𰔩	扌广龶皿
𰔪	扌木木龰
𰔫	扌七凵頁
𰔬	扌大丷火
𰔭	扌革二力
𰔮	扌⺼田心
𰔮	扌月田心
𰔯	扌夕目丷
𰔰	手白冫木
𰔱	扌䒑自辶
𰔲	扌宀𠀎马
𰔳	扌大隹寸
𰔴	扌門䒑大
𰔵	扌爫缶厶
𰔶	车𦥑一手
𰔶	𦥑车一手
𰔷	扌广日十
𰔷	扌广田十
𰔸	扌匚艹心
𰔹	扌彳十心
𰔻	扌爫冂虫
𰔽	手卝口隹
𰔽	手艹口隹
𰔾	合手扌龰
𰔿	手罒糹隹
𰕁	十又彐寸
𰕂	十又立亅
𰕅	匚乂⺊又
𰕉	匚矢⺊又
𰕍	方夊口丨
𰕎	七丶月夊
𰕎	亠厶月夊
𰕏	一冂人夊
𰕐	⺊冖一又
𰕑	人一木夊
𰕒	尚土⺊又
𰕓	白小彡夊
𰕔	人人土夊
𰕖	耳口壬夊
𰕖	耳口王夊
𰕗	目爿片夊
𰕘	虍田⺼又
𰕘	虍田月又
𰕛	弓冫弓文
𰕜	⺮目廾文
𰕟	尸亠巾斤
𰕠	⺊日丨斤
𰕢	艹一口斤
𰕣	口口日斤
𰕤	止日止斤
𰕥	口口日斤
𰕦	艹日大斤
𰕭	方𠂉人厶
𰕮	方𠂉亻土
𰕯	方𠂉乛小
𰖃	人人人日
𰖆	乛水一日
𰖈	日一业丿
𰖉	日一口䒑
𰖊	日日𠂇乀
𰖋	日夊人人
𰖒	日一大日
𰖓	日宀⺀大
𰖖	日一冂又
𰖗	人一米日
𰖙	日文厂彡
𰖜	日十戈木
𰖞	日生又寸
𰖟	日氵丶艮
𰖡	日一弋貝
𰖢	日士方夊
𰖢	日龶勹夊
𰖦	日日冖丂
𰖧	日夊丰辶
𰖨	矢口日𬺰
𰖩	日文凵厶
𰖪	日亠丷古
𰖫	𡗗𰀁日月
𰖮	日巳巳八
𰖯	日𠂇工辶
𰖰	日一龰又
𰖱	日䒑𧰨辶
𰖳	日生忄凵
𰖴	忄車斤日
𰖵	日肀一皿
𰖶	日舟殳皿
𰖷	日立日女
𰖸	日宀丿田
𰖹	日耂日𢆉
𰖺	日十戈八
𰖻	日門木丷
𰖼	日艹罒日
𰖽	日⺧儿貝
𰖾	日𡗗日虫
𰖿	日彳丶王
𰗀	丷田一日
𰗂	彐土日月
𰗈	𠂇月𠂇月
𰗌	月一乛丶
𰗎	月艹大廾
𰗏	𠂇月土兀
𰗚	木冖丂一
𰗝	木十冂丄
𰗟	木乂凵儿
𰗣	亠人人木
𰗤	木宀一𬺰
𰗦	木尸乀⺀
𰗧	⺊囗コ木
𰗩	日木丿厶
𰗭	亠予丿木
𰗯	木冖儿干
𰗯	木冖八干
𰗱	木大丶辶
𰗲	木⺊囗夊
𰗴	木彳丶王
𰗸	木乛水三
𰗺	木十廾贝
𰗻	木一业女
𰗿	彳氵亍木
𰘀	木卅冖巾
𰘁	木氵⺧儿
𰘃	木予丿予
𰘄	木阝一乚
𰘅	木纟夊口
𰘆	木乃日子
𰘇	木一口丨
𰘈	木龷八车
𰘊	日木厂七
𰘋	日木⺁巴
𰘍	木亻龶月
𰘎	木𠂉十巴
𰘏	木氵九木
𰘐	止匕木文
𰘑	米⺀十木
𰘒	䒑屮欠木
𰘓	艹冖木木
𰘕	木彐勹又
𰘖	木卄三水
𰘗	木士方夊
𰘗	木龶勹夊
𰘘	木木亡心
𰘙	木丂犭虫
𰘚	木木一米
𰘜	木田夊口
𰘝	木八刀貝
𰘞	乂木木一
𰘟	木白小彡
𰘠	木门⺈臼
𰘡	方𠂉乛木
𰘢	木宀耳又
𰘣	木纟白巾
𰘤	尸示寸木
𰘥	木木冂冂
𰘦	未言𠂉十
𰘨	土土土木
𰘩	木艹肀八
𰘪	日木戶方
𰘪	日木户方
𰘫	木日龶月
𰘬	日木人心
𰘭	止止止木
𰘮	木戶夊木
𰘮	木户夊木
𰘯	木糹夊口
𰘰	木弓丆弓
𰘱	弓丆日木
𰘲	木阝日𰀪
𰘳	木木口贝
𰘴	木大丷火
𰘵	木土𠂇皿
𰘷	木宀𠀎土
𰘸	木米女夊
𰘹	木二欠貝
𰘹	木冫欠貝
𰘺	木丶王日
𰘼	犭虫夊木
𰘽	木日幺灬
𰘾	石石石木
𰘿	木日艹十
𰘿	木日艹𰀁
𰙀	木門囗木
𰙁	日木艹大
𰙂	白幺幺兀
𰙃	彳日一木
𰙄	𠂉卌一木
𰙅	臣𠂉口木
𰙆	木木囗示
𰙇	木口古口
𰙈	𠂉卌一木
𰙉	一米一米
𰙍	士冖厶欠
𰙐	⺊目一欠
𰙔	爫丁口欠
𰙖	龶囗口欠
𰙙	亠水一欠
𰙟	丿乛又止
𰙠	一冂人止
𰙥	止匕⺁又
𰙥	止匕厂又
𰙩	刀丶刀止
𰙪	亠丷冖正
𰙯	止止戈乚
𰙲	亠丷冖止
𰙳	阝夊ヰ止
𰙴	一口冂止
𰙶	宀𠀎八正
𰙷	亠丷冂止
𰙻	里厂木止
𰙽	一夕十丄
𰙾	一夕人王
𰙾	一夕入王
𰙿	一夕止𣥂
𰚁	一夕立早
𰚂	一夕木貝
𰚄	亠八乂殳
𰚆	口十口殳
𰚇	亠丷冂殳
𰚊	业䒑八殳
𰚋	⺈口匕丂
𰚌	匕匕广又
𰚘	毛十冖子
𰚚	毛亻丁口
𰚞	龶⺆丄毛
𰚞	龶冂丄毛
𰚟	毛日一寸
𰚡	毛亠人十
𰚥	禾刀厂毛
𰚬	毛宀斤八
𰚭	习习ユ毛
𰚮	予丿示毛
𰚰	一米夊毛
𰚲	毛米龷八
𰚳	亦毛毛毛
𰚴	毛宀心丁
𰚵	十戈非毛
𰚶	耳耳耳毛
𰚸	二厶巳七
𰚹	冂大巳七
𰚺	車夕夕七
𰛂	气⺈口儿
𰛃	气八刀日
𰛚	氵⺆⺆一
𰛜	氵丨ココ
𰛠	氵一夕匕
𰛡	氵匕匕十
𰛢	氵𠂇丨土
𰛣	扌九丶水
𰛬	氵十冂大
𰛭	氵匕匕土
𰛮	氵⺊囗乂
𰛰	氵亻𠂇工
𰛳	氵欠𠂇乀
𰛷	氵丷巾八
𰛿	氵⺊日又
𰜁	水日匕匕
𰜂	丿止廴水
𰜃	氵⺆⺆口
𰜅	亻口𫶧水
𰜇	水亻一乂
𰜊	亠囗口水
𰜋	氵尸丶水
𰜎	氵木子力
𰜑	氵艹千又
𰜒	氵口丨皿
𰜓	氵上小寸
𰜔	氵口丄日
𰜖	氵冂人皿
𰜖	氵冂入皿
𰜗	氵口口口
𰜙	氵爫子力
𰜟	氵立口亅
𰜡	氵阝夊ヰ
𰜢	氵力口贝
𰜤	氵山人王
𰜤	氵山入王
𰜥	氵一丌丌
𰜦	氵卄二正
𰜧	氵日士口
𰜨	氵艹𠂇子
𰜩	氵囗大心
𰜪	氵口丄目
𰜫	氵⺁一辶
𰜭	氵人一口
𰜯	氵冖儿力
𰜯	氵冖八力
𰜰	氵水彐𰀁
𰜱	氵扌斤日
𰜲	氵龶罒二
𰜳	氵贝贝女
𰜴	氵艹夊丰
𰜵	氵口口田
𰜶	氵戶夊口
𰜶	氵户夊口
𰜷	氵⺮弓丿
𰜸	氵亻立亅
𰜻	氵犭龷日
𰜼	氵宀耳又
𰜽	氵二欠皿
𰜽	氵冫欠皿
𰝀	氵丷罒又
𰝁	氵門𬺰丿
𰝂	氵厶厶小
𰝅	氵艹冖口
𰝇	氵丿人一
𰝈	氵穴田八
𰝊	氵丷弓目
𰝋	氵阝⺈心
𰝍	氵习习车
𰝎	氵糹一刂
𰝐	氵彐工寸
𰝑	氵十戈車
𰝒	氵木口耳
𰝓	氵龶月乂
𰝔	氵扌人口
𰝕	氵口囗皿
𰝕	氵口日皿
𰝗	氵⺮门日
𰝘	氵火火凵
𰝙	丰阝氵月
𰝚	氵覀龵月
𰝛	氵車斤土
𰝜	氵厂日犬
𰝝	氵一勹皿
𰝞	氵⺮肀八
𰝠	氵宀爿又
𰝡	氵宀女月
𰝢	氵覀大辶
𰝣	氵來⺧口
𰝤	氵日业页
𰝥	氵小丿大
𰝦	氵白穴口
𰝧	氵彐厶木
𰝧	氵白匕木
𰝨	氵䒑月习
𰝩	氵广䒑灬
𰝩	氵广八灬
𰝪	氵彐𰀁月
𰝫	氵尸木火
𰝬	氵雨月月
𰝭	氵艹日水
𰝯	氵言日乚
𰝱	氵七丶乂
𰝱	氵亠厶乂
𰝲	氵覀羊习
𰝴	氵宀十习
𰝵	氵金卝又
𰝵	氵金艹又
𰞁	一冂人灬
𰞆	丬匕乚人
𰞈	𠂇火⺀十
𰞉	火二厶力
𰞌	火扌丿七
𰞎	冂人人火
𰞏	火囗𬺰丿
𰞒	火⺈厂㔾
𰞕	犭九丶火
𰞖	犭九丶灬
𰞙	亠八乂火
𰞜	乛水一火
𰞠	扌亠几灬
𰞢	火土勹二
𰞢	火土勹冫
𰞣	火山人乛
𰞤	火〢又土
𰞨	勹口力灬
𰞩	火人一木
𰞪	火火一勹
𰞭	火⺊囗⺀
𰞮	火日一大
𰞯	艹亻匕灬
𰞰	囗口𠂇火
𰞵	火火⺁又
𰞵	火火厂又
𰞷	火厶大彡
𰞸	火刀口阝
𰞻	火十廾贝
𰞼	扌乛水灬
𰞽	木乛水灬
𰞾	火艹𠂇口
𰞿	⺊口戈灬
𰟀	冂二目灬
𰟂	火勹巳灬
𰟃	火宀𠂇月
𰟄	火门夊口
𰟅	彐厶匚火
𰟆	弓士口灬
𰟈	日夕口灬
𰟉	目刀口灬
𰟋	火囗大厶
𰟍	火八乂夕
𰟎	火火龷八
𰟏	火䒑八皿
𰟑	龷八㇉灬
𰟒	火西王丶
𰟒	火覀王丶
𰟓	火卄一入
𰟔	火⺧口辶
𰟕	火彳人龰
𰟖	火匕矢欠
𰟗	人一日火
𰟘	火门⺈臼
𰟚	土𢆉火火
𰟛	乂乂木灬
𰟛	木乂乂灬
𰟜	火覀土土
𰟝	革力一火
𰟞	土土土火
𰟠	冫戊一灬
𰟡	火氵日𰀪
𰟢	火⺍冖見
𰟣	木日一火
𰟤	火大丷灬
𰟥	大丷手火
𰟧	火口耳戈
𰟪	火耳又人
𰟫	火門夊口
𰟬	火上小米
𰟭	火火火火
𰟮	氵卄一灬
𰟯	火火冖田
𰟰	火大丆日
𰟱	匚口口灬
𰟲	火宀卝丶
𰟲	火宀艹丶
𰟴	耂日灬日
𰟶	𠂇火艹豕
𰟷	䒑廾馬火
𰟹	阝䒑𧰨火
𰟺	火火火木
𰟻	火口口夊
𰟾	爫冂人又
𰠄	爫亠人十
𰠆	爫マ冂廾
𰠇	衤刀爫又
𰠈	爫土𢆉人
𰠉	爫口口十
𰠊	爫糹糹十
𰠋	八乂尤丿
𰠌	八乂戊丶
𰠍	八乂上又
𰠖	爿丶丌口
𰠘	丬𠂉子辶
𰠞	片一日乂
𰠟	片龶⺆丄
𰠟	片龶冂丄
𰠥	牙士罒貝
𰠮	牛𠂇乂丶
𰠮	牛𠂇又丶
𰠴	牛七丿兀
𰠶	牛勹夕寸
𰠸	牛立口亅
𰠹	牛罒土厶
𰠺	糹勹𰀪牛
𰠼	牛口丄貝
𰡏	犭口冂人
𰡘	犭人一贝
𰡘	犭人丶贝
𰡛	犭人一冊
𰡞	犭十廾贝
𰡠	犭广卄又
𰡡	犭罒勹口
𰡢	犭贝贝女
𰡥	犭习习白
𰡦	亠丷冂丶
𰡧	口口日犬
𰡨	犭罒土𧘇
𰡩	犭艹丷斤
𰡪	麻犭勹口
𰡫	犭丷夫馬
𰡬	犭米覀早
𰡳	王丶人⺀
𰡿	王丶几巾
𰢁	王人人王
𰢅	王一口田
𰢆	王王人下
𰢇	王王人小
𰢊	王丶王丶
𰢋	王匚口口
𰢌	王王人示
𰢎	王禾勹木
𰢐	王止止止
𰢒	阝日一丶
𰢓	王曲一䒑
𰢔	王⺮日乚
𰢖	王口丂巾
𰢗	王日艹十
𰢗	王日艹𰀁
𰢚	王耳耳耳
𰢠	瓜艹亠巾
𰢡	臼且八瓜
𰢣	瓦大十廾
𰢩	卄二耂匕
𰢯	生木囗丷
𰢳	マ用丿丶
𰣇	几丶巛田
𰣊	田力𠂇又
𰣋	土人人田
𰣌	田力䒑大
𰣍	田立口亅
𰣎	田龷八小
𰣐	申日⺌兀
𰣑	田予丿示
𰣒	壬厶卯田
𰣓	丿米田𰀪
𰣕	一口田日
𰣖	田田冖且
𰣗	𰃦米大田
𰣙	田癶弓殳
𰣚	田弓工口
𰣛	田力丷日
𰣜	口口田廴
𰣝	一口田日
𰣞	田田雨田
𰣟	田木田田
𰣠	丆日乛龰
𰣡	亡罒乛龰
𰣦	疒丶力丶
𰣮	疒⺈⺆土
𰣳	疒マ用一
𰣶	疒口丄贝
𰣸	疒夕㔾心
𰣹	疒⺼日一
𰣹	疒月日一
𰣺	疒一冂人
𰣻	疒丅口口
𰣼	疒禾口八
𰣾	疒口口田
𰣿	疒虫宀匕
𰤀	疒⺼丷儿
𰤀	疒月丷儿
𰤁	一爿丌田
𰤂	疒十早月
𰤄	疒人人日
𰤅	一爿艹禺
𰤇	疒⺈⺆羊
𰤇	疒⺈用羊
𰤈	疒士心里
𰤉	疒木覀示
𰤊	一爿魚羊
𰤋	疒禾艹火
𰤐	癶丌口一
𰤝	白龷羊八
𰤠	丨ココ皮
𰤤	冂人人皮
𰤪	宀一兀皮
𰤫	皮十乛大
𰤬	十乛⺀皮
𰤰	大丷电皮
𰤻	口口丨皿
𰤽	一夕一皿
𰤽	一夕二皿
𰥂	⺷皿人乛
𰥃	士𠃜殳皿
𰥄	⺷皿㇆口
𰥅	䒑八皿儿
𰥇	丂丿𦥑皿
𰥇	𦥑丂丄皿
𰥈	土卜皿阝
𰥉	鹵𠂇月皿
𰥊	立早夊皿
𰥟	小丿目乜
𰥣	目〢又土
𰥩	目尸二丶
𰥮	目山厂干
𰥯	目八厶心
𰥰	龵目勹厶
𰥱	目亻亠夫
𰥳	目广⺊口
𰥶	龵目口乂
𰥷	目宀工口
𰥸	目艹人木
𰥿	目龷八电
𰦀	目丷夫目
𰦁	目宀火火
𰦂	士𠃜皮目
𰦃	目禾勹木
𰦅	目冖車辶
𰦆	目火火电
𰦈	龵目金十
𰦉	目土儿儿
𰦊	目⺮隹又
𰦋	目⺮罒丶
𰦏	予丿戈丿
𰦐	予丿止匕
𰦗	矢土乚土
𰦘	矢口丁口
𰦙	矢口㇆口
𰦛	矢一口乙
𰦜	矢罒土厶
𰦝	矢𠂇口口
𰦞	矢艹日大
𰦠	匕矢⺈貝
𰦡	矢一口大
𰦢	矢⺈田日
𰦨	石丶力丶
𰦶	石一日一
𰦺	石广丿厶
𰦻	⺁一口皮
𰦼	石十冖子
𰦾	石一业丿
𰦿	石口冂人
𰧁	石口口丨
𰧂	人一乛石
𰧂	人丶乛石
𰧆	石大十廾
𰧇	石〢又贝
𰧈	石艹力八
𰧉	石⺁十贝
𰧋	士冖石夊
𰧏	石䒑月刂
𰧐	石丂口一
𰧐	石了口一
𰧑	士方夊石
𰧑	龶勹夊石
𰧒	石冂二习
𰧒	石日习习
𰧓	石艹冖木
𰧕	石人一口
𰧕	石人丶口
𰧖	石乂木殳
𰧗	石千丬二
𰧘	石讠耂日
𰧚	石囗丷㔾
𰧛	石山厂土
𰧜	石山方夊
𰧝	石八刀貝
𰧞	石⺈田日
𰧠	尸示寸石
𰧡	石丌匚田
𰧢	石夫夫日
𰧤	石⺮彐𰀁
𰧥	石⺮土寸
𰧥	石⺮士寸
𰧦	石人人日
𰧧	石䒑彐灬
𰧧	石八一灬
𰧨	石又十木
𰧪	石夫夫貝
𰧫	石⺈口丶
𰧬	石𠂤大巾
𰧴	示匚⺈丶
𰧻	示人二厶
𰧼	示丿𠂇口
𰨁	示土乚土
𰨂	示入一木
𰨃	示人人土
𰨆	示幺幺几
𰨈	示广亻寸
𰨉	示宀尸コ
𰨊	示𠂉子辶
𰨋	示爫冂土
𰨌	示立口亅
𰨍	示彐𰀁廴
𰨏	示夕㔾田
𰨐	示一口丨
𰨑	示一口由
𰨒	示宀一八
𰨓	示巳巳八
𰨖	示日一页
𰨗	示壴口灬
𰨘	覀示夊隹
𰨟	禾一冂二
𰨣	禾丿丷𬺰
𰨤	禾㇆一口
𰨪	禾土乚土
𰨬	禾⺈丨日
𰨱	禾𠂇口口
𰨳	禾二欠贝
𰨳	禾冫欠贝
𰨵	十冂𢆉几
𰨶	禾⺊口米
𰨷	禾宀心山
𰨸	禾夫夫日
𰨻	禾肀片一
𰨼	禾足夊口
𰨽	禾又又且
𰨾	禾大丆日
𰨿	禾广䒑灬
𰨿	禾广八灬
𰩀	禾宀丰心
𰩀	禾宀龶心
𰩁	禾⺷禾丂
𰩂	禾干丷寸
𰩃	禾目目隹
𰩋	穴土乚土
𰩌	土厶穴力
𰩒	穴上小又
𰩔	穴土土土
𰩖	穴日宀女
𰩘	穴忄日王
𰩙	穴艹日大
𰩚	穴工覀女
𰩛	穴臼勹灬
𰩜	穴大丷灬
𰩝	穴白方殳
𰩞	穴九貝夊
𰩟	穴牙⺮寸
𰩤	立亠八乂
𰩩	士𠃜殳立
𰩪	立田夊口
𰩫	立見立見
𰩮	⺮二㇉丶
𰩹	⺮氵𠄎𰀪
𰩺	⺮纟勹丶
𰩼	⺮一巛工
𰩿	⺮土勹口
𰪇	⺮木一刀
𰪈	⺮木日一
𰪉	⺮⺊口灬
𰪊	⺮钅口丨
𰪌	⺮⺼丶水
𰪌	⺮月丶水
𰪏	⺮车夊口
𰪑	⺮亻戈乂
𰪒	立⺮尤丿
𰪓	⺮冖一豕
𰪔	⺮一水夊
𰪗	⺮木木木
𰪘	⺮忄ユ示
𰪙	⺮𫝀口丶
𰪚	⺮目千一
𰪚	⺮目千二
𰪛	⺮虫壬廴
𰪜	⺮舟丷力
𰪝	⺮門龷八
𰪞	⺮木艹大
𰪟	⺮扌龷夊
𰪠	⺮虍田⺼
𰪠	⺮虍田月
𰪡	⺮禾卯田
𰪢	⺮糹戶冊
𰪢	⺮糹户冊
𰪤	⺮丿米𢆉
𰪥	⺮金虍豕
𰪫	米二㇉丶
𰪶	米囗𬺰丿
𰪿	米艹冖力
𰫀	米日一寸
𰫂	米丬匕⺼
𰫂	米丬匕月
𰫅	米氵夊口
𰫈	米千丬二
𰫉	米宀斤八
𰫊	米丬夕水
𰫋	米艹一人
𰫌	米八刀儿
𰫍	米千里力
𰫏	米立丿生
𰫒	米宀日龰
𰫔	米酉厶夊
𰫕	米亠丷二
𰫖	米艹门丷
𰫨	糹厶口一
𰫩	糹艹亻匕
𰫫	糹囗夊⺀
𰫬	糸牛冂刂
𰫮	糸文厂彡
𰫰	糹⺮彐丿
𰫱	臣又糸乙
𰫳	糹走刀口
𰫴	糹囗木立
𰫵	糸大丆日
𰫶	亻罒一糸
𰫸	糸宀丰心
𰫸	糸宀龶心
𰫹	言糹糹𬺰
𰫺	糹宀亻糸
𰫻	卝口口糸
𰫻	艹口口糸
𰬃	纟一冂人
𰬌	纟一𱼀一
𰬎	纟匕匕十
𰬑	纟⺈彐亅
𰬗	纟一水丶
𰬘	纟十冖子
𰬜	纟⺈口儿
𰬞	纟彐冖又
𰬟	纟戈口一
𰬠	纟一田凵
𰬡	纟一彐龰
𰬢	纟一肀女
𰬢	纟十彐女
𰬣	纟日勹𰀪
𰬥	纟八厶心
𰬦	纟勹𰀪心
𰬪	纟厶大彡
𰬭	纟土土寸
𰬮	纟大冖牛
𰬯	纟乂凵夊
𰬰	纟勹𰀪心
𰬱	纟十冖糸
𰬲	纟厂白小
𰬳	纟䒑屮辶
𰬵	纟方𠂉龰
𰬶	纟习习白
𰬷	纟龷⺼夊
𰬷	纟龷月夊
𰬺	纟丷酉寸
𰬻	纟予丿口
𰬼	纟木口贝
𰬽	纟⺈⺆牛
𰬽	纟⺈用牛
𰬾	纟广䒑八
𰬿	纟亻业夫
𰭀	纟丆月夊
𰭇	缶田田田
𰭉	冖八口儿
𰭊	冂人木刂
𰭋	罒十冂丄
𰭍	冂人⺈儿
𰭏	冂人戈一
𰭑	罒氵土厶
𰭒	冂乂冖豕
𰭓	冂乂糹七
𰭔	罒纟口⺼
𰭔	罒纟口月
𰭕	冂人糹且
𰭖	冂乂乂糹
𰭛	⺷大一丶
𰭞	习习一丌
𰭟	丿乛又习
𰭟	乃乀习习
𰭠	习习尸乀
𰭢	习习夫丷
𰭣	丰寸习习
𰭤	日勹𰀪习
𰭥	习习戈𰀪
𰭦	丿米田一
𰭫	耂匕口乂
𰭯	彐厶匚而
𰭰	丿未丿廾
𰭲	丰八罒𢆉
𰭵	耳丅一㇉
𰭾	冂人人乚
𰭿	𠂇⺆人人
𰮀	八冂人人
𰮂	冂人人力
𰮄	口冂人人
𰮆	冂人人巳
𰮈	冂人人巾
𰮉	冂人人不
𰮍	乂乂冂人
𰮎	乂凵冂人
𰮏	冂人人殳
𰮑	七丶冂人
𰮔	丬匕冂人
𰮕	卄二冂人
𰮖	冂人人正
𰮘	冂人人且
𰮛	冂人人生
𰮜	冂人人口
𰮝	月七丿兀
𰮞	冂人人ヰ
𰮠	月乂𠂇厶
𰮡	⺼一巾八
𰮡	月一巾八
𰮢	勹乂凵人
𰮣	冂人人巴
𰮥	月土乚土
𰮧	⺆人人口
𰮨	小又凵人
𰮪	冂人人子
𰮫	木木冂人
𰮮	冂人人力
𰮱	⺼勹𰀪月
𰮴	弓丬匕⺼
𰮴	弓丬匕月
𰮶	十冂𢆉人
𰮷	月艹𠂇口
𰮹	月口丨𰀁
𰮺	月口丄月
𰮻	冂人人人
𰮼	月⺈口匕
𰮾	月宀火又
𰯀	月了口凵
𰯁	月一大虫
𰯃	月山夊丰
𰯄	月口口巾
𰯅	月艹勹日
𰯆	冂人人巾
𰯇	夊⺀田⺼
𰯇	夊⺀田月
𰯈	月丷夫手
𰯊	月予丿示
𰯋	又隹冂人
𰯌	月大人丶
𰯎	月艹一人
𰯏	月艹一木
𰯐	月⺈田日
𰯒	月彐豕乚
𰯓	月彐夕又
𰯔	月丅耳夊
𰯔	月乛耳夊
𰯕	月十罒心
𰯖	厂䒑屮人
𰯘	月⺈罒丶
𰯙	月丷夫土
𰯚	月火火火
𰯜	戶⺼忄白
𰯜	户月忄白
𰯝	月刀刀止
𰯞	月罒大𢆉
𰯟	月阝𠂇辶
𰯠	厶口隹人
𰯡	月艹氵甫
𰯢	⺼丷口口
𰯢	月丷口口
𰯣	冂人人貝
