×	乂
𫗱	饣䒑彐八
𫗳	饣弓口虫
𫗴	饣亠囗一
𫗶	䒑自丿𬺰
𫗷	䒑自口木
𫗸	䒑自龷日
𫗹	䒑自木丶
𫗺	䒑自龶夊
𫗻	䒑自广月
𫗼	禾日土土
𫗽	禾日入王
𫗾	禾日十乚
𫘀	禾日土夊
𫘁	禾日龶貝
𫘂	禾日隹木
𫘃	禾日立欠
𫘄	禾日宀貝
𫘋	馬龶冂丄
𫘍	馬口冂口
𫘓	馬田八夊
𫘔	馬八乂虫
𫘕	馬䒑彐八
𫘘	足夊口馬
𫘙	馬几一鳥
𫘚	馬米田八
𫘥	马日匕匕
𫘨	马日一龰
𫘪	马厂白小
𫘫	马日宀女
𫘬	马爫幺大
𫘭	马大乂乂
𫘮	马亠丷古
𫘰	马亠囗一
𫘱	马山隹口
𫘳	骨彐𰀁廴
𫘽	髟人二厶
𫘿	髟彐丿口
𫙀	镸彡耂日
𫙁	髟⺈口儿
𫙃	髟日皿勹
𫙄	一口冂丨
𫙅	一口冂用
𫙆	弓亻寸丨
𫙇	弓冫隹丨
𫙌	土土卜鬼
𫙎	鬼口口十
𫙓	鱼人口乂
𫙞	魚又ナ又
𫙡	魚扌丿七
𫙢	魚七丶木
𫙤	魚木亠几
𫙦	牛勹𰀪魚
𫙨	魚亻三又
𫙩	魚冫欠口
𫙪	魚刀冂大
𫙫	魚大丷巳
𫙬	魚冂大皿
𫙭	鱼人⺈⺀
𫙮	魚夕㐄木
𫙯	魚亻丨彡
𫙰	魚匕匕車
𫙱	魚十早乙
𫙳	魚⺮亻寸
𫙴	魚广龷人
𫙵	魚心丿虫
𫙷	魚口丄貝
𫙸	魚門一廾
𫙺	魚口耳戈
𫙻	魚宀一田
𫙼	魚癶一䒑
𫙾	魚止匕用
𫙿	魚⺈冂又
𫚀	魚立朩斤
𫚁	魚冫欠貝
𫚂	魚十戈隹
𫚃	⺽乂乂魚
𫚆	魚厂白頁
𫚇	魚尸水虫
𫚋	鱼二乚丶
𫚎	鱼一冂人
𫚓	一夕刂鱼
𫚕	鱼リ一巾
𫚘	鱼亻匕十
𫚛	鱼丷口儿
𫚞	禾勹丿鱼
𫚟	牛亠几鱼
𫚠	鱼丷夫㔾
𫚡	鱼彐冖巾
𫚢	鱼匚日女
𫚣	鱼亻一乂
𫚤	鱼䒑幺幺
𫚥	鱼尸二又
𫚦	鱼穴人口
𫚨	鱼立口阝
𫚪	鱼予丿口
𫚫	鱼口口木
𫚬	鱼宀习彡
𫚶	丿丷𬺰鳥
𫚷	⺆⺆一鳥
𫚾	口一大鳥
𫚿	亻丨夊鳥
𫛀	乙𰀁阝鳥
𫛁	一弋止鳥
𫛃	山王丶鳥
𫛇	女又弓鳥
𫛋	厶口心鳥
𫛌	丅口丁鳥
𫛐	囗戈口鳥
𫛑	十口口鳥
𫛒	扌艹勹鳥
𫛕	穴⺧口鳥
𫛖	犭厶月鳥
𫛗	口卄一鳥
𫛘	白白白鳥
𫛙	穴禾禺鳥
𫛦	大一丂鸟
𫛬	人一朩鸟
𫛮	丷巾八鸟
𫛲	⺆土口鸟
𫛳	月卩又鸟
𫛴	丷日十鸟
𫛵	尸屮凵鸟
𫛶	木口力鸟
𫛸	日一龰鸟
𫛹	目小丿鸟
𫛺	鸟亻ユ矢
𫛻	广卄一鸟
𫛼	癶一大鸟
𫜁	丷巾八鸟
𫜄	丷酉寸鸟
𫜅	鸟罒一𧘇
𫜆	广习习鸟
𫜊	⺊囗乂皿
𫜏	米夕㐄鹿
𫜒	龶夊宀匕
𫜓	龶夊口月
𫜗	麻亻一刂
𫜘	一巾龷八
𫜚	黑勹𰀪心
𫜜	八丂业〢
𫜟	丷酉口电
𫜠	目爿片子
𫜡	目爿片方
𫜤	自田丌犬
𫜥	齒山一几
𫜧	齒宀丆丁
𫜨	止人凵巴
𫜩	丰刀止凵
𫜪	止人凵乂
𫜫	止人凵甫
𫜬	止人凵日
𫜭	止人凵斤
𫜮	止人凵彡
𫜯	止人凵口
𫜰	十冂𢆉凵
𫜲	ナ月尤丿
𫜳	冂土⺈电
𫜴	木木火冊
𫝂	一⺍丿丅
𫝃	一丷巾人
𫝉	人一彐口
𫝊	亻一由寸
𫝋	亻〢又䒑
𫝌	〢朩一八
𫝏	冫文厂彡
𫝑	土𢆉九力
𫝔	土〢一兀
𫝖	勹厂コ八
𫝚	口車二厶
𫝛	木目冂口
𫝜	口九朩隹
𫝝	𫩏厂乙夊
𫝞	口雨予力
𫝡	阝ナ月土
𫝤	丷夫一大
𫝥	⺷大丶艮
𫝬	女口丄贝
𫝭	女贝贝女
𫝮	女门木丷
𫝯	⺽丂丨子
𫝰	宀⺈日电
𫝱	宀心丿丁
𫝴	山⺁一口
𫝶	广口人土
𫝷	广口又土
𫝸	立丿丿人
𫝼	扌癶二儿
𫝽	扌亻丨彡
𫝿	扌立里亍
𫞄	一人人日
𫞇	月⺍几𰀁
𫞈	木刀丶一
𫞋	木彳䒑龰
𫞎	木ナ月口
𫞏	木ナ〢口
𫞒	木厂木日
𫞓	止丿示丶
𫞔	一夕十业
𫞙	氵龷八丶
𫞚	氵冫欠贝
𫞛	氵讠耂日
𫞜	氵业冂丨
𫞝	氵门䒑欠
𫞞	氵艹𫩏隹
𫞡	火艹冖木
𫞤	犭土乚𧘇
𫞧	王艹冖力
𫞩	王艹一人
𫞪	卄三乂乚
𫞭	疒貝𬺰丿
𫞱	土厶口皿
𫞴	夕𰀪乀示
𫞶	礻𠂉卌灬
𫞷	禾人二厶
𫞺	穴爫木咼
𫞼	立ナ丨土
𫞾	⺮田匕匕
𫞿	⺮冫刀木
𫟁	糸尸二殳
𫟂	糹宀𠀎⺀
𫟄	纟宀ナ厶
𫟇	纟广习彡
𫟈	䒑二人丷
𫟊	月广卄巾
𫟋	⺽丂一八
𫟏	艹丿口丶
𫟓	艹人爫口
𫟔	艹䒑屮欠
𫟕	艹丷日阝
𫟖	艹戊乚臣
𫟘	彳𫝀口亍
𫟙	彳一𫝀亍
𫟜	艹𫩏隹見
𫟝	言亠𫩏𧘇
𫟠	讠丷日十
𫟦	车䒑𧰨辶
𫟨	土亠𧘇辶
𫟩	丷夫己辶
𫟪	白穴口辶
𫟫	厂一勹阝
𫟬	⺁十贝阝
𫟭	宀夊口阝
𫟱	金士日寸
𫟶	钅⺆⺆一
𫟽	钅千丬匕
𫟾	钅夊一生
𫠀	钅厂龷日
𫠁	钅艹土皿
𫠂	门人丶マ
𫠄	𫝀口㐄亥
𫠈	几乂心丿
𫠌	马西示刂
𫠑	鱼臼丨又
𫠕	广隹丿灬
𫠗	⺊囗乂人
𫠘	⺍几𰀁由
𫠚	止米凵口
𫠜	止人凵儿
𫠝	尚夊⺈电
𫠥	一冂人乚
𫠦	一卜丿亅
𫠪	乚丶人下
𫠰	下丿扌戈
𫠳	下人一冊
𫠴	斤一人厶
𫠵	丆目冂二
𫠷	上亻𡗗𰀁
𫠸	上氵⺌月
𫠹	上厶月匕
𫠽	上忄龶月
𫠾	十口囗貝
𫠿	上癶一䒑
𫡀	䒑业文二
𫡁	䒑彐〢业
𫡂	䒑彐〢业
𫡇	八刀口丨
𫡉	宀子口丨
𫡊	〢土䒑夊
𫡋	〢二二𰀁
𫡌	口口丨㔾
𫡍	矢隹口丨
𫡎	石石石丨
𫡔	⺈丨丅乚
𫡕	丿一水丶
𫡙	千丬匕一
𫡜	𠂤丿乚丿
𫡝	乃日一龰
𫡟	𠂉卌一亡
𫡠	⺈乀罒貝
𫡡	夭口冂𧰨
𫡨	乙一水丶
𫡪	卄二木乙
𫡫	乙十冂𢆉
𫡬	九丶口人
𫡯	十早月乙
𫡰	九丆日千
𫡵	一𫝀十𢆉
𫡶	二厶其乚
𫡸	二車一工
𫡾	亡忄口月
𫡿	亠囗口米
𫢀	亠囗口虫
𫢁	亠〢二小
𫢄	𣎆一口田
𫢕	亻人一刀
𫢖	亻乃⺈丨
𫢙	亻二厶力
𫢚	人丨一𧘇
𫢛	亻𠂉⺊又
𫢜	亻八乂卩
𫢝	亻宀一𬺰
𫢡	亻小丿廾
𫢣	亻人丶刂
𫢤	亻丿𫩏儿
𫢥	亻爫一乀
𫢦	亻宀ナ厶
𫢩	尸匕人乙
𫢬	亻艹冖力
𫢭	亻艹丶丶
𫢮	亻艹亻匕
𫢰	亻日丿廾
𫢱	亻罒十乚
𫢲	亻〢又贝
𫢳	亻𰃦〢兀
𫢴	亻人人龰
𫢶	亻广⺊口
𫢸	亻丷日十
𫢹	亻宀尤丿
𫢺	亻厶大彡
𫢼	厶口亻弋
𫢽	亻一𫩏夊
𫢿	人工勹又
𫣂	亻乃又皿
𫣃	人丶マ女
𫣅	亻山一䒑
𫣆	亻囗大心
𫣇	亻口口又
𫣈	亻口口夊
𫣊	亻爫冖又
𫣋	亻白干又
𫣌	亻⺷儿厶
𫣍	人文凵月
𫣎	亻冖目八
𫣒	亻⺈日电
𫣓	亻彳日寸
𫣔	亻夕㐄田
𫣕	亻冖一田
𫣙	一米一乂
𫣚	一口乂米
𫣜	亻十罒心
𫣝	人一冊王
𫣟	亻艹勹米
𫣠	亻矢口日
𫣡	亻宀一田
𫣣	亻石日寸
𫣤	亻艹𫝀㐄
𫣥	亻艹亠巾
𫣨	亻目爿片
𫣩	亻立朩斤
𫣪	亻户冊丿
𫣫	亻米女夊
𫣭	亻弋田八
𫣮	人一朩又
𫣯	亻口木刂
𫣰	亻申爪又
𫣱	亻户冊之
𫣲	亻十人貝
𫣳	亻木木辰
𫣴	亻臣又貝
𫣵	亻乚丶八
𫣶	亻⺧口非
𫣷	亻宀艹丶
𫣹	合夭口口
𫣺	亻龶月亅
𫣻	亻木口貝
𫣼	亻雨木木
𫣽	合皿门廾
𫣾	亻艹隹灬
𫣿	罒貝人丶
𫤀	亻山自貝
𫤂	亻⺽冂八
𫤃	亻尸口土
𫤄	亻一口隹
𫤅	亻木口糸
𫤆	人一米又
𫤇	亻罒一辶
𫤈	亻八人辶
𫤊	一口田田
𫤋	言一𫝀卩
𫤌	亻一业夊
𫤍	人王言冊
𫤎	亻匕頁正
𫤏	亻匕頁辶
𫤑	亻户冊又
𫤒	亻匕頁木
𫤓	亻匕頁辶
𫤔	亻火火鳥
𫤕	亻匕頁示
𫤖	亻山口夊
𫤗	乚冂一儿
𫤙	一兀宀匕
𫤚	⺌兀人マ
𫤛	丷口儿丰
𫤜	口儿丷丿
𫤝	由丂口儿
𫤞	一兀䒑自
𫤟	口儿白王
𫤠	⺧儿日匕
𫤡	⺌兀田糸
𫤢	⺧儿立生
𫤣	土土土口
𫤤	⺌兀人刂
𫤥	⺌兀日隹
𫤦	⺌兀土兀
𫤧	丅酉乂儿
𫤨	⺌兀日十
𫤩	冂人彐夕
𫤪	人王人王
𫤫	八丅乚乙
𫤭	𰃦乂一八
𫤯	厶大彡八
𫤰	〢丂丿八
𫤲	八口十口
𫤳	丷ユ丿末
𫤵	爿片子八
𫤶	立戈日八
𫤷	冂䒑山厶
𫤺	冖人丶口
𫤻	冖罒一𧘇
𫤼	冖爫罒寸
𫤽	冖立早贝
𫥊	冫⺈厂㔾
𫥍	冫一业丿
𫥎	⺈口儿⺀
𫥐	冫日一寸
𫥑	冫木口刂
𫥒	冫⺊冂大
𫥓	冫人一刂
𫥕	冫人丶二
𫥖	冫人丶卜
𫥗	冫匕矢欠
𫥘	冫人丶口
𫥚	冫⺊夕米
𫥛	冫口口木
𫥜	冫人丶十
𫥝	冫立朩見
𫥠	丿几土八
𫥡	匕白匕几
𫥢	白土匕几
𫥣	䒑彐〢几
𫥤	屮凵一人
𫥥	文凵尸⺀
𫥦	乙酉乂凵
𫥧	屮凵罒乚
𫥨	罒大屮凵
𫥩	文凵一口
𫥪	文凵〢八
𫥫	尸至屮凵
𫥬	屮凵艹早
𫥭	氵卄一凵
𫥮	文凵冫八
𫥯	尸乀一毛
𫥵	厂一勹刂
𫥷	丨一丨刂
𫥻	刂人丶マ
𫥿	亠八乂刀
𫦃	大十廾刂
𫦆	人人且刂
𫦇	八刀氵乚
𫦈	亠人人乀
𫦋	丬夕寸刀
𫦌	纟⺈巴刀
𫦍	丆目大刀
𫦎	十冖糸刂
𫦒	⺮弓丨刂
𫦓	方𠂉矢刀
𫦔	爿𱼀寸刀
𫦕	艹冖缶刂
𫦖	业䒑夫刂
𫦗	夕夕夕刂
𫦘	⺈囗儿刀
𫦙	夭口冂刂
𫦚	艹一口刂
𫦛	⺊囗人刂
𫦜	木木亠刂
𫦝	⺮一冂刂
𫦟	人人戈刂
𫦠	屮一屮刂
𫦡	日日日刂
𫦢	石亠人刂
𫦣	丷巾八刂
𫦩	一冂人力
𫦰	艹冖力力
𫦳	纟⺈巴力
𫦴	日⺌兀力
𫦵	宀丁且力
𫦶	田力耂匕
𫦷	禾二欠力
𫦸	火火冖力
𫦹	力口力口
𫦺	厶大亻力
𫦻	田力匕白
𫦼	习习隹力
𫦽	革二力生
𫦾	⺽乂乂力
𫦿	千里力力
𫧂	⺧口勹丶
𫧃	勹𰀪人厶
𫧄	勹月䒑大
𫧅	勹𠂉母糸
𫧆	勹广彐糸
𫧉	⺈口匕匕
𫧊	𱼀缶丿匕
𫧌	匚一乚乀
𫧑	匚一日一
𫧔	亠爿土乚
𫧕	匚矢口儿
𫧖	匚龷由八
𫧗	匚合口口
𫧘	匚牛罒夭
𫧙	匚鳥一𬺰
𫧚	匚宀丰夫
𫧛	匚耳耳大
𫧜	匚口口也
𫧝	匚立早貝
𫧣	十冂𢆉丨
𫧥	十卄一入
𫧦	亠𰀪幺丨
𫧧	車辶丿廾
𫧨	十廾大儿
𫧩	十早日皿
𫧪	丿廾曲辰
𫧫	十冖糸口
𫧬	𠂉十言日
𫧭	十早口木
𫧯	⺊口冂人
𫧱	上卜古儿
𫧲	上卜宀厶
𫧳	上卜戈一
𫧴	⺊口又又
𫧵	上卜耳阝
𫧶	上卜立儿
𫧷	⺊囗人丿
𫧸	⺊貝癶䒑
𫧼	卯丶丶丱
𫧽	一幺幺卩
𫧾	卯丶丶士
𫧿	卯丶丶大
𫨀	爫罒彐卩
𫨊	厂八人口
𫨎	厂人丿戈
𫨐	厂厶口火
𫨒	厂古口又
𫨓	厂口口巴
𫨔	厂千丬二
𫨖	厂乂ナ刂
𫨗	厂子子日
𫨘	厂口口冊
𫨙	厂爫幺入
𫨚	厂立口阝
𫨛	厂糹冂口
𫨞	厂止田止
𫨟	厂子子日
𫨠	厂土广月
𫨣	厂丶丌丨
𫨤	厂木木日
𫨥	厂日月米
𫨧	厶女乙一
𫨨	一日乂厶
𫨩	厶口匕匕
𫨪	厶女乙口
𫨭	土厶日𰀪
𫨮	土厶人舌
𫨯	土厶非心
𫨰	非心土厶
𫨱	业䒑夫厶
𫨹	又又匚儿
𫨼	匚人丨又
𫨾	厂土土又
𫩁	⺈亠⺈又
𫩃	丩白匕又
𫩅	又又亠十
𫩈	十罒一又
𫩉	礻乚耳又
𫩊	彐丿口又
𫩋	龷八巾丶
𫩌	口巴口又
𫩍	⺁又雨田
𫩎	言人一又
𫩞	厶口乙一
𫩦	口冂一乙
𫩧	人一マ口
𫩰	口𠂉⺀十
𫩲	口⺁一口
𫩳	口亻丶丶
𫩺	口尸乀⺀
𫩻	力力力口
𫩽	口扌亠几
𫩾	口扌⺁又
𫩿	口扌丁入
𫪂	口一业丿
𫪄	口〢又土
𫪉	口八口八
𫪊	口乂口乂
𫪋	丿扌戈口
𫪌	口氵冖几
𫪎	口忄ユ人
𫪏	口氵勹𰀪
𫪐	口尸乙口
𫪒	口木⺁又
𫪓	口丆囗口
𫪔	古一夕匕
𫪕	口丂⺧儿
𫪖	口大丷丂
𫪗	口一弋止
𫪘	口匚乂欠
𫪜	口艹人乙
𫪝	口艹八刀
𫪟	口口乂口
𫪠	口口冖尸
𫪢	口亻二女
𫪣	⺁一口士
𫪤	口丷夫刀
𫪥	口亻夕夕
𫪨	口儿⺌兀
𫪩	口八ナ月
𫪪	口⺁十贝
𫪫	口八ナ月
𫪬	口氵人マ
𫪮	亠囗口口
𫪲	口木一人
𫪳	口ナ工月
𫪵	口扌龷八
𫪶	口扌穴乙
𫪸	一𫝀口儿
𫪺	口卅冖巾
𫪾	口⺷儿丶
𫪿	口氵亻牛
𫫀	口立口亅
𫫃	口扌厶矢
𫫄	口扌大人
𫫇	口一业心
𫫋	口冖木木
𫫌	立口刀口
𫫎	火火乂口
𫫐	氵丶艮口
𫫑	口力亠十
𫫒	口彐土日
𫫓	口扌广口
𫫔	口扌土卜
𫫕	口木龵廴
𫫘	不口不口
𫫙	口匕矢欠
𫫚	口艹人口
𫫜	口犭龶月
𫫞	舌人丶心
𫫟	口禾乃辶
𫫠	口宀亻日
𫫡	口广大电
𫫣	口亠幺牛
𫫤	口戶口夊
𫫥	口氵宀示
𫫦	口门⺈臼
𫫨	口王文王
𫫫	口丆日夊
𫫬	口士示欠
𫫭	口門一廾
𫫯	口犭艹田
𫫰	口爫冖㐄
𫫲	口金七凵
𫫳	口穴耂子
𫫴	口糹亠儿
𫫵	口尸米女
𫫶	口扌卯田
𫫷	口戈戈皿
𫫸	革亻匕口
𫫹	一大口彡
𫫺	口耳由丂
𫫻	口艹宀一
𫫼	口罒大电
𫫽	⺊冖一土
𫫾	口止𣥂页
𫫿	口金人マ
𫬀	口身几木
𫬁	⺽丂丨口
𫬂	口氵卯田
𫬄	口亠八𧘇
𫬇	口馬乂乂
𫬈	口扌巛木
𫬉	口艹月刂
𫬊	口貝尸口
𫬋	口口丌丨
𫬌	口口冖匕
𫬍	口非亠𧘇
𫬎	舌文凵厶
𫬏	口广习彡
𫬐	口宀𠀎贝
𫬒	口扌龷夊
𫬓	口扌火力
𫬔	士口士口
𫬕	口木犭日
𫬗	口虫尸又
𫬘	口罒厶匕
𫬙	口贝亠𧘇
𫬜	口扌人厶
𫬝	口雨立女
𫬞	口酉日生
𫬡	口貝艹大
𫬢	口口犬口
𫬣	口口犬丿
𫬤	口月弋貝
𫬦	口亻士寸
𫬧	口⺮𠂤巾
𫬨	口火火缶
𫬩	亠丷冂廾
𫬪	文口米㐄
𫬫	彑𰀪巾口
𫬬	口扌亠二
𫬭	口車宀口
𫬮	一𫝀口十
𫬯	二乚古乚
𫬰	口口冖𧰨
𫬱	口艹禺辶
𫬲	口口虎口
𫬴	⺽木木口
𫬵	口氵亠二
𫬷	口馬大口
𫬸	壴口一田
𫬹	口一八丶
𫬺	口艹勹言
𫬻	口目目又
𫬼	口⺈用虫
𫬽	口口爫口
𫬾	口金十王
𫬿	口火火鳥
𫭁	口雨厂止
𫭇	囗ナ丨子
𫭉	囗人丶口
𫭊	囗宀ナ厶
𫭍	囗日一𰀪
𫭒	囗䒑小冂
𫭔	囗王丶口
𫭕	人一冊貝
𫭞	土二乚丶
𫭪	土七丿兀
𫭲	土一业丿
𫭳	土土乙𰀁
𫭶	冫人丶土
𫭹	乙𰀁阝土
𫭺	土尸土丶
𫭼	土艹冖力
𫭿	人人土匕
𫮀	土⺆土口
𫮃	土丷日十
𫮄	阝丁口土
𫮅	土厶大彡
𫮇	土石人人
𫮉	土艹干丷
𫮊	土爫干又
𫮋	夕卜人土
𫮍	土立口亅
𫮎	土亠日小
𫮑	土彐𰀁廴
𫮓	土戈口𰀪
𫮕	土日戊乙
𫮗	土月䒑大
𫮙	土亻月月
𫮚	土冖木木
𫮛	土八土土
𫮜	一米犬土
𫮞	土山日匕
𫮟	八人口土
𫮡	土氵火火
𫮢	土マ用辶
𫮣	耳又人土
𫮤	艹氵⺊土
𫮥	土隹乃乀
𫮧	土⺈口𧰨
𫮨	土⺮土寸
𫮩	⺽月丨土
𫮪	土穴口人
𫮫	土丷夫糸
𫮬	土弓口虫
𫮭	革二丁口
𫮰	土土人二
𫮱	其土𠂉㐄
𫮲	土艹日土
𫮳	口巴口土
𫮴	土火火木
𫮵	土尸水㐄
𫮶	土土口口
𫮷	土里立口
𫮸	糹厂里土
𫮹	土艹大小
𫮺	宀工口土
𫮻	予⺈口土
𫮼	土尸水辶
𫮽	土艹土口
𫮾	土艹隹日
𫮿	土山厂夊
𫯀	虫虫虫土
𫯁	士冖一口
𫯂	士冖一子
𫯃	士冖田龰
𫯄	方士方士
𫯅	士𠃜女弓
𫯇	士𠃜土辶
𫯈	士冖一口
𫯊	卄二木力
𫯏	大弓夕卜
𫯐	夕夕木一
𫯒	夕夕冖𧘇
𫯕	辰寸夕卜
𫯖	夕夕䒑辶
𫯗	夕夕氵月
𫯘	其夕夕夕
𫯙	夕夕立八
𫯚	夕夕十𧘇
𫯣	大寸一𬺰
𫯨	尸毛一大
𫯩	大十廾大
𫯫	大一口田
𫯬	一大日匕
𫯭	大日一𰀪
𫯯	大丷丂巳
𫯱	⺊冂米大
𫯲	且力大弓
𫯴	大マ囗𢆉
𫯵	大立口阝
𫯷	䒑屮大乚
𫯸	一大穴心
𫯹	木一夕大
𫯻	大山戊𣥂
𫯽	大丁口日
𫯿	夫門一廾
𫰀	幺車幺大
𫰁	方𠂉其大
𫰂	大耂日十
𫰃	大人人八
𫰄	爫幺大口
𫰅	艹魚禾大
𫰝	女一冂土
𫰞	女一夕刂
𫰟	女一彑一
𫰡	女亻匕十
𫰢	女人二厶
𫰨	女乙⺀大
𫰱	人人口女
𫰲	⺈口儿女
𫰶	厶口乙女
𫰻	女冂䒑亡
𫰼	女艹二厶
𫰽	女人人龰
𫱁	女人丶心
𫱂	女乙水凵
𫱄	女ナ口月
𫱆	女一口田
𫱈	女艹ナ丶
𫱉	女丬匕月
𫱊	女日勹乚
𫱋	女龵一丰
𫱌	女冖一寸
𫱎	女⺷儿丶
𫱏	亡女龷八
𫱐	女习习廾
𫱑	女石丿之
𫱒	木木冖女
𫱔	女龷八丶
𫱖	女口亻口
𫱙	女𠂉母口
𫱝	女冫欠心
𫱡	女艹爿士
𫱣	女囗戈一
𫱤	禾彐亡女
𫱥	白匕殳女
𫱦	女⺈口丂
𫱧	女丷口丿
𫱨	女亠丷口
𫱩	女又广又
𫱬	女古尸毛
𫱯	女丆日日
𫱰	女艹勹缶
𫱱	女业丨〢
𫱲	由丂口女
𫱳	女金勹冫
𫱵	女丷酉寸
𫱶	予丿⺌女
𫱷	女肀片一
𫱸	女干𡗗水
𫱹	女一水𧘇
𫱺	女壴十又
𫱻	女艹勹夊
𫱼	女⺊夕米
𫱽	女艹宀一
𫱾	女囗口貝
𫱿	止人凵女
𫲀	月丷夫女
𫲁	女礻日木
𫲂	女丷夫貝
𫲃	女亠囗示
𫲄	女穴口厶
𫲅	一八巾女
𫲆	女匕矢龰
𫲇	女艹穴口
𫲈	女山一夊
𫲉	女几一鳥
𫲋	女广习彡
𫲌	彑𰀪巾女
𫲍	女艹日日
𫲎	女艹日丶
𫲏	女艹日又
𫲑	女舟予木
𫲒	女丶丌丨
𫲓	亡罒月丶
𫲔	女艹隹灬
𫲕	屮𠂤辛女
𫲖	山𠂤辛女
𫲗	女⺧儿贝
𫲙	女阝ナ辶
𫲚	女雨口口
𫲜	豕母米女
𫲝	女艹臣皿
𫲞	女日日且
𫲟	女立月廾
𫲠	女厂口夊
𫲦	子八口儿
𫲩	艹ナ口子
𫲪	山幺幺子
𫲬	乃子耂日
𫲭	子立日儿
𫲮	子冖一田
𫲯	⺽亠口子
𫲰	刀口子糸
𫲱	口冊乙子
𫲳	ナ丨子羊
𫲴	子艹門丷
𫳇	宀丅口丄
𫳈	宀土冖儿
𫳌	宀亻ナ口
𫳏	宀屮乙𰀁
𫳓	宀口口又
𫳖	宀亠囗口
𫳘	宀子宀丁
𫳙	宀女王丶
𫳚	宀王人彡
𫳞	宀日一𰀪
𫳠	宀礻𠂉十
𫳡	宀心丿火
𫳣	宀女女女
𫳤	宀一八目
𫳥	宀丅口止
𫳦	宀口月阝
𫳨	宀白儿阝
𫳩	宀彳⺧口
𫳪	宀⺁彐殳
𫳬	宀心一土
𫳮	宀女彐又
𫳯	宀丰丰彐
𫳰	宀王一丶
𫳴	宀丿米夊
𫳵	宀牛亻口
𫳶	宀丰口𰀁
𫳷	宀白匕殳
𫳸	宀舌口儿
𫳹	宀心丿兀
𫳺	宀氵上又
𫳻	宀爿𱼀寸
𫳽	宀王王王
𫳾	宀一由心
𫳿	宀丰戈一
𫴀	宀車予丿
𫴁	宀米又兀
𫴂	宀王罒夫
𫴃	宀一由皿
𫴄	宀西土夊
𫴅	宀王一田
𫴇	宀上小水
𫴈	宀丿口殳
𫴊	宀亻宀火
𫴋	宀立电下
𫴌	宀⺷丿戈
𫴍	宀火西土
𫴎	宀尸口辛
𫴏	宀乙水見
𫴐	宀𠀎八二
𫴑	宀一𣥂彡
𫴓	宀丰口口
𫴔	宀臼火心
𫴕	宀⺈口廾
𫴖	宀礻西土
𫴗	宀礻一田
𫴘	宀木木火
𫴙	宀丰口夫
𫴚	宀心丿乙
𫴛	宀爿𡗗臼
𫴜	宀一口彡
𫴝	宀王貝丁
𫴞	宀心皿也
𫴟	宀户夊乃
𫴠	宀山豕豕
𫴡	宀王貝丄
𫴢	宀貝ナ又
𫴣	宀氵欠又
𫴤	宀雨丰彐
𫴥	宀言糹糹
𫴦	宀王貝田
𫴧	宀阝爫土
𫴨	宀木囗𱼀
𫴩	宀礻一貝
𫴪	宀言言言
𫴫	宀王缶貝
𫴬	丨又寸丨
𫴮	日一寸二
𫴱	彐寸𠂉母
𫴲	彐寸乙阝
𫴳	彐寸王廾
𫴴	氵龷冂寸
𫴵	彐寸龵丰
𫴶	广壴寸寸
𫴷	彐寸石石
𫴻	小丿冂人
𫴼	门𬺰丿小
𫴾	小日匕匕
𫴿	白勹丶小
𫵀	小忄屮凵
𫵄	艹冂大小
𫵆	小丿目口
𫵇	𠃜目⺈小
𫵉	丶彐厶大
𫵊	小丿糹口
𫵋	立日心小
𫵌	尚千龷一
𫵍	小止𣥂頁
𫵑	八儿⺊早
𫵒	八儿口貝
𫵗	尸乀彐丿
𫵛	尸乀⺀寸
𫵜	尸丩亠又
𫵟	尸乀扌七
𫵠	尸丨二㐄
𫵡	尸毛⺆一
𫵢	曲尸屮凵
𫵣	尸毛一丶
𫵤	尸夕㐄田
𫵥	尸䒑廾口
𫵦	尸古方⺀
𫵧	尸乀⺀水
𫵨	尸䒑廾刂
𫵩	尸彳一𢆉
𫵪	尸⺽冂八
𫵫	尸米女匕
𫵬	尸月⺽八
𫵭	尸米女口
𫵮	凵𰀁凵𰀁
𫵰	屮尸コ兀
𫵼	山一日乂
𫵽	山几一日
𫶁	山日勹𰀪
𫶂	山山厂干
𫶅	山厶大彡
𫶆	山戊一女
𫶇	山卅冖巾
𫶈	山尸䒑廾
𫶋	⺽丨冖山
𫶍	山冖日八
𫶎	山穴人口
𫶏	山女丿戈
𫶐	山又又木
𫶒	山氵木木
𫶓	山宀大口
𫶔	乙耳夊山
𫶕	山艹冖口
𫶖	阝日一山
𫶗	山石人冊
𫶙	山艹癶大
𫶚	山禾士刂
𫶛	山彳糸夊
𫶜	山高⺈丨
𫶝	山厂乙夊
𫶞	匕日頁山
𫶟	山厂亻夫
𫶠	山龶冂丄
𫶡	山止𣥂頁
𫶢	山虍田皿
𫶣	山彳鱼亍
𫶤	山尸子子
𫶥	山艹門丷
𫶦	山言糹夊
𫶨	人一朩川
𫶩	巛冂人厶
𫶪	巛言立儿
𫶮	工艹二厶
𫶰	⺶工十又
𫶱	工丂艹早
𫶲	士𠃜殳工
𫶳	工罒耂日
𫶸	巴亻一刂
𫶹	山幺幺巳
𫶺	十ナ十㔾
𫶻	巴臣𠂉皿
𫶼	巴辛木口
𫶿	巾丿几丶
𫷃	一人人巾
𫷆	巾冂䒑山
𫷉	巾宀⺧儿
𫷋	巾山一䒑
𫷍	白巾尸匕
𫷎	巾广肀口
