㑇	亻 负字头 彐
锁	钅 尚字头 贝
锂	钅 里
锃	钅 口 王
锄	钅 且 力
锅	钅 口 冂 人
锆	钅 告字头 口
锇	钅 3 扌 戈
锈	钅 禾 乃
锉	钅 人 人 土
锊	钅 爫 寸
锋	钅 夂 丰
锌	钅 辛
锍	钅 充字头 荒字底
锎	钅 门 1 廾
锏	钅 门 日
锐	钅 丷 口 儿
锑	钅 丷 弟省
锒	钅 4 艮
锓	钅 彐 冖 又
锔	钅 尸 5 口
锕	钅 阝 可
锖	钅 龶 青字底
锗	钅 者
锘	钅 艹 左字框 口
错	钅 龷 日
锚	钅 艹 田
锛	钅 大 十 廾
锜	钅 大 可
锝	钅 日 1 寸
锞	钅 日 木
锟	钅 日 比字旁 匕
锠	钅 日 日
锡	钅 日 勿
锢	钅 囗 古
锣	钅 罒 夕
锤	钅 垂
锥	钅 隹
锦	钅 白 巾
锧	钅 反字框 十 贝
锨	钅 斤 欠
锩	钅 龹 㔾
锪	钅 勿 心
锫	钅 立 口
锬	钅 火 火
锭	钅 宀 定字底
键	钅 聿 廴
锯	钅 尸 古
锰	钅 子 皿
锱	钅 巛 田
锲	钅 丰 刀 大
锳	钅 艹 见二 大
锴	钅 比字旁 匕 白
锵	钅 丬 夕 寸
锶	钅 田 心
锷	钅 口 口 二 5
锸	钅 千 臼
锹	钅 禾 火
锺	钅 千 里
锻	钅 段字旁 殳
锼	钅 臼 2 又
锽	钅 白 王
锾	钅 爫 1 左字框 又
锿	钅 享字头 衣省
镀	钅 广 廿 又
镁	钅 美字头 大
镂	钅 米 女
镃	钅 䒑 幺 幺
镄	钅 弗 贝
镅	钅 眉字框 目
镆	钅 艹 日 大
镇	钅 十 具字头 八
镈	钅 甫 寸
镉	钅 鬲
镊	钅 耳 又 又
镋	钅 尚头 儿
镌	钅 隹 乃
镍	钅 自 木
镎	钅 亼 口 手
镏	钅 留字头 田
镐	钅 高
镑	钅 立无横 冖 方
镒	钅 益字头 皿
镓	钅 宀 豕
镔	钅 宀 丘无横 1 八
镕	钅 宀 谷
镖	钅 覀 示
镗	钅 尚头 土
镘	钅 日 罒 又
镙	钅 田 糸
镚	钅 山 月 月
镛	钅 广 肀 青字底
镜	钅 音 儿
镝	钅 立无横 冂 古
镞	钅 方 卧人 矢
镟	钅 方 卧人 疋
镠	钅 羽 全字头 彡
镡	钅 覀 早
镢	钅 厂 䒑 䶹 欠
镣	钅 大变 丷 日 小
镤	钅 业 养字头
镥	钅 鱼 日
镦	钅 享字头 子 攵
镧	钅 门 束 丷
镨	钅 䒑 业 日
镩	钅 穴 口 口 2
镪	钅 弓 口 虫
镫	钅 癶 同字心 䒑
镬	钅 艹 隹 又
镭	钅 雨头 田
镮	钅 罒 同字心 衣省
镯	钅 罒 勹 虫
镰	钅 广 兼
镱	钅 音 心
镲	钅 宀 祭字头 示
镳	钅 鹿 灬
镴	钅 巛 囗 乂 5 冬字底 5 冬字底 5
镵	钅 负字头 口 比字旁 匕 兔
镶	钅 亠 口 口 1 龷 衣省
長	1 2 三 畏字底
镸	镸
镹	镸 久二 4
镺	镸 3 大
镻	镸 3 夫
镼	镸 尸 屮 凵
镽	镸 大变 丷 日 小
镾	镸 1 八 巾 乂 乂 乂 乂
长	长
門	见二 二 冂 二
閁	见二 二 冂 二 3
閂	见二 二 冂 二 1
閃	见二 二 冂 二 人
閄	见二 二 冂 二 人
閅	见二 二 冂 二 丁
閆	见二 二 冂 二 三
閇	见二 二 冂 二 1 卜
閈	见二 二 冂 二 干
閉	见二 二 冂 二 于无横 3
閊	见二 二 冂 二 山
開	见二 二 冂 二 1 廾
閌	见二 二 冂 二 亠 几
閍	见二 二 冂 二 方
閎	见二 二 冂 二 左字框 厶
閏	见二 二 冂 二 王
閐	见二 二 冂 二 毛
閑	见二 二 冂 二 木
閒	见二 二 冂 二 月
間	见二 二 冂 二 日
閔	见二 二 冂 二 文
閕	见二 二 冂 二 牙
閖	见二 二 冂 二 水
閗	见二 二 冂 二 冬字底 十
閘	见二 二 冂 二 甲
閙	见二 二 冂 二 亠 巾
閚	见二 二 冂 二 立
閛	见二 二 冂 二 干 丷
閜	见二 二 冂 二 可
閝	见二 二 冂 二 今 4
閞	见二 二 冂 二 厶 廾
閟	见二 二 冂 二 心 3
閠	见二 二 冂 二 斜玉 4
閡	见二 二 冂 二 亥
関	见二 二 冂 二 䒑 大
閣	见二 二 冂 二 各
閤	见二 二 冂 二 亼 口
閥	见二 二 冂 二 亻 戈
閦	见二 二 冂 二 全字头 人 人
閧	见二 二 冂 二 共
閨	见二 二 冂 二 土 土
閩	见二 二 冂 二 虫
閪	见二 二 冂 二 西
閫	见二 二 冂 二 囗 木
閬	见二 二 冂 二 4 艮
閭	见二 二 冂 二 口 口
閮	见二 二 冂 二 壬 廴
閯	见二 二 冂 二 氵 少三 3
閰	见二 二 冂 二 臼
閱	见二 二 冂 二 八 口 儿
閲	见二 二 冂 二 丷 口 儿
閳	见二 二 冂 二 1 日 十
閴	见二 二 冂 二 目 八
閵	见二 二 冂 二 隹
閶	见二 二 冂 二 日 日
閷	乂 朩 见二 二 冂 二 人
閸	见二 二 冂 二 1 2 1 5 5 1 2 1
閹	见二 二 冂 二 大 日 5
閺	见二 二 冂 二 日 文
閻	见二 二 冂 二 负字头 臼
閼	见二 二 冂 二 方 全字头 冬字底
閽	见二 二 冂 二 氏 日
閾	见二 二 冂 二 戈 口 1
閿	见二 二 冂 二 爫 冖 又
闀	见二 二 冂 二 共 巳
闁	见二 二 冂 二 见二 二 冂 二
闂	见二 二 冂 二 龹 㔾
闃	见二 二 冂 二 目 犬
闄	见二 二 冂 二 覀 女
闅	见二 二 冂 二 目 卢字头 又
闆	见二 二 冂 二 口 口 口
闇	见二 二 冂 二 音
闈	见二 二 冂 二 候右角 2 口 㐄
闉	见二 二 冂 二 覀 土
闊	见二 二 冂 二 氵 舌
闋	见二 二 冂 二 癶 1 大
闌	见二 二 冂 二 束 丷
闍	见二 二 冂 二 者
闎	见二 二 冂 二 白 水
闏	见二 二 冂 二 风省 3 虫
闐	见二 二 冂 二 十 具字头 八
闑	见二 二 冂 二 自 木
闒	见二 二 冂 二 日 羽
闓	见二 二 冂 二 山 同字心 䒑
闔	见二 二 冂 二 土 厶 皿
闕	见二 二 冂 二 䒑 䶹 欠
闖	见二 二 冂 二 1 2 举字底 5 灬
闗	见二 二 冂 二 幺 幺 灬
闘	见二 二 冂 二 同字心 䒑 寸
闙	见二 二 冂 二 户 口 攵
闚	见二 二 冂 二 夫 目 儿
闛	见二 二 冂 二 尚头 土
關	见二 二 冂 二 幺 幺 5 3 2 2 1
闝	见二 二 冂 二 目 八 攵
闞	见二 二 冂 二 5 耳 攵
闟	见二 二 冂 二 亼 口 羽
闠	见二 二 冂 二 贵字头 目 八
闡	见二 二 冂 二 口 口 日 十
闢	见二 二 冂 二 尸 口 辛
闣	见二 二 冂 二 尚头 田
闤	见二 二 冂 二 罒 同字心 衣省
闥	见二 二 冂 二 土 羊 辶
闦	见二 二 冂 二 曲 同字心 䒑
闧	见二 二 冂 二 土 口 衣省变 辶
门	门
闩	门 1
闪	门 人
闫	门 三
闬	门 干
闭	门 于无横 3
问	门 口
闯	门 马
闰	门 王
闱	门 韦
闲	门 木
闳	门 左字框 厶
间	门 日
闵	门 文
闶	门 亠 几
闷	门 心
闸	门 甲
闹	门 亠 巾
闺	门 土 土
闻	门 耳
闼	门 大 辶
闽	门 虫
闾	门 口 口
闿	门 山 己
阀	门 亻 戈
阁	门 各
阂	门 亥
阃	门 囗 木
阄	门 负字头 日 5
阅	门 丷 口 儿
阆	门 4 艮
阇	门 者
阈	门 戈 口 1
阉	门 大 日 5
阊	门 日 日
阋	门 臼 儿
阌	门 爫 冖 又
阍	门 氏 日
阎	门 负字头 臼
阏	门 方 全字头 冬字底
阐	门 丷 日 十
阑	门 束 丷
阒	门 目 犬
阓	门 贵字头 贝
阔	门 氵 舌
阕	门 癶 1 大
阖	门 土 厶 皿
阗	门 十 具字头 八
阘	门 日 羽
阙	门 䒑 䶹 欠
阚	门 5 耳 攵
阛	门 罒 同字心 衣省
阜	3 㠯 十
阝	阝
阞	阝 力
队	阝 人
阠	阝 5 十
阡	阝 千
阢	阝 1 儿
阣	阝 卧人 6
阤	阝 也
阥	阝 水
阦	阝 火
阧	阝 冬字底 十
阨	阝 厂 㔾
阩	阝 3 廾
阪	阝 反字框 又
阫	阝 不
阬	阝 亠 几
阭	阝 厶 儿
阮	阝 二 儿
阯	阝 止
阰	阝 比字旁 匕
阱	阝 井
防	阝 方
阳	阝 日
阴	阝 月
阵	阝 车
阶	阝 全字头 乔字底
阷	阝 1 止
阸	阝 户 6
阹	阝 土 厶
阺	阝 氏 4
阻	阝 且
阼	阝 乍
阽	阝 卢字头 口
阾	阝 今 4
阿	阝 可
陀	阝 宀 匕
陁	阝 卧人 也
陂	阝 皮
陃	阝 1 冂 人
附	阝 亻 寸
际	阝 示
陆	阝 举字底 凵
陇	阝 龙
陈	阝 东二 小
陉	阝 经右角 工
陊	阝 夕 夕
陋	阝 1 冂 人 5
陌	阝 1 白
降	阝 夂 㐄
陎	阝 3 未
陏	阝 左字框 青字底
限	阝 艮
陑	阝 而
陒	阝 负字头 厂 㔾
陓	阝 大 二 5
陔	阝 亥
陕	阝 夫 丷
陖	阝 厶 傻下角
陗	阝 尚字头 青字底
陘	阝 1 巛 工
陙	阝 辰
陚	阝 1 弋 止
陛	阝 比字旁 匕 土
陜	阝 大 人 人
陝	阝 大 入 入
陞	阝 3 廾 土
陟	阝 止 步字底
陠	阝 甫
陡	阝 走
院	阝 宀 二 儿
陣	阝 1 日 十
除	阝 全字头 余字底
陥	阝 负字头 2 日
陦	阝 寿字头 寸
陧	阝 日 土
陨	阝 口 贝
险	阝 亼 应字心
陪	阝 立 口
陫	阝 非
陬	阝 耳 又
陭	阝 大 可
陮	阝 隹
陯	阝 亼 扁字心
陰	阝 今 云
陱	阝 勹 米
陲	阝 垂
陳	阝 木框 日
陴	阝 白 3 十
陵	阝 土 傻下角
陶	阝 勹 缶
陷	阝 负字头 臼
陸	阝 土 八 土
陹	阝 3 廾 日
険	阝 全字头 同字心 人
陻	阝 覀 土
陼	阝 者
陽	阝 日 1 勿
陾	阝 而 大
陿	阝 匚 大 人 人
隀	阝 千 里
隁	阝 匚 日 女
隂	阝 全字头 镸
隃	阝 亼 青字底 刂
隄	阝 日 定字底
隅	阝 日 禺下
隆	阝 夂 1 生
隇	阝 戊 1 女
隈	阝 田 1 畏字底
隉	阝 臼 工
隊	阝 䒑 豕省
隋	阝 左字框 工 青字底
隌	阝 音
隍	阝 白 王
階	阝 比字旁 匕 白
随	阝 左字框 青字底 辶
隐	阝 负字头 彐 心
隑	阝 山 同字心 䒑
隒	阝 兼
隓	阝 左字框 工 左字框 工
隔	阝 鬲
隕	阝 口 目 八
隖	阝 3 见二 二 5 灬
隗	阝 鬼
隘	阝 益字头 皿
隙	阝 小 日 小
隚	阝 尚头 土
際	阝 祭字头 示
障	阝 立 早
隝	阝 3 见二 三 5 灬
隞	阝 龶 万无横 攵
隟	阝 巛 日 木
隠	阝 爫 彐 心
隡	阝 立无横 厂 生
隢	阝 土 土 土 1 儿
隣	阝 米 夕 㐄
隤	阝 贵字头 目 八
隥	阝 癶 同字心 䒑
隦	阝 尸 口 辛
隧	阝 䒑 豕省 辶
隨	阝 左字框 工 青字底 辶
隩	阝 3 冂 米 大
險	阝 亼 口 口 人 人
隫	阝 十 贲字腰 目 八
隬	阝 1 八 巾 乂 乂 乂 乂
隭	阝 雨头 而
隮	阝 亠 丷 2 刀 卬字旁 4 乔字底 二
隯	阝 士 5 工 1 口 寸
隰	阝 日 幺 幺 灬
隱	阝 爫 工 彐 心
隲	阝 少三 3 1 2 举字底 5 灬
隳	阝 左字框 工 青字底 全字头 恭字底
隴	阝 立 青字底 1 5 1 5 三
隵	阝 虍 同字心 䒑 戈
隶	隶字框 率字腰
隷	士 示 隶字框 率字腰
隸	木 示 隶字框 率字腰
隹	隹
隺	冖 隹
隻	隹 又
隼	隹 十
隽	隹 乃
难	难
隿	弋 隹
雀	小 隹
雁	厂 亻 隹
雂	今 隹
雃	1 廾 隹
雄	左字框 厶 隹
雅	牙 隹
集	隹 木
雇	户 隹
雈	2 1 卢字头 隹
雉	矢 隹
雊	句 隹
雋	隹 凹无横
雌	止 比字旁 隹
雍	亠 乡 隹
雎	且 隹
雏	负字头 彐 隹
雐	虍 隹
雑	九 朩 隹
雒	各 隹
雓	全字头 余字底 隹
雔	隹 隹
雕	周字框 土 口 隹
雖	口 虫 隹
雗	十 早 卧人 隹
雘	周字框 亠 艹 隹 又
雙	隹 隹 又
雚	艹 口 口 隹
雛	勹 䶹 勹 䶹 隹
雜	亠 人 人 朩 隹
雝	巛 口 巴 隹
雞	爫 幺 大 隹
雟	䶹 隹 冂 八 口
雠	隹 讠 隹
雡	羽 全字头 彡 隹
離	亠 乂 凵 禸 隹
難	廿 口 夫 隹
雤	臼裂 乂 乂 冖 隹
雥	隹 隹 隹
雦	隹 隹 隹
雧	隹 隹 隹 木
雨	雨
雩	雨头 二 5
雪	雨头 彐
雫	雨头 1 卜
雬	雨头 木
雭	雨头 及
雮	雨头 毛
雯	雨头 文
雰	雨头 八 刀
雱	雨头 方
雲	雨头 云
雳	雨头 厂 力
雴	雨头 立
雵	雨头 见二 大
零	雨头 今 4
雷	雨头 田
雸	雨头 甘
雹	雨头 勹 巳
雺	雨头 予 3
電	雨头 日 5
雼	雨头 石
雽	雨头 3 丷 于无横
雾	雨头 夂 力
雿	雨头 儿 率字腰
需	雨头 而
霁	雨头 齐
霂	雨头 氵 木
霃	雨头 氵 冖 儿
霄	雨头 尚字头 青字底
霅	雨头 言
霆	雨头 壬 廴
震	雨头 辰
霈	雨头 氵 1 巾
霉	雨头 卧人 母
霊	雨头 1 1 业
霋	雨头 1 妻字头无横 女
霌	雨头 周字框 土 口
霍	雨头 隹
霎	雨头 立 女
霏	雨头 非
霐	雨头 氵 弓 厶
霑	雨头 氵 卢字头 口
霒	雨头 云 今
霓	雨头 臼 儿
霔	雨头 氵 4 斜玉
霕	雨头 云 1 屯无横
霖	雨头 木 木
霗	雨头 氵 今 4
霘	雨头 氵 冂 同字心
霙	雨头 艹 见二 大
霚	雨头 予 3 攵
霛	雨头 弓 弓 弓
霜	雨头 木 目
霝	雨头 口 口 口
霞	雨头 叚字旁无二 二 叚右角 又
霟	雨头 氵 共
霠	雨头 立 今
霡	雨头 月 4 永无点
霢	雨头 月 反字框 旅下角
霣	雨头 口 目 八
霤	雨头 留字头 田
霥	雨头 冖 1 豕
霦	雨头 木 木 彡
霧	雨头 予 3 夂 力
霨	雨头 尸 示 寸
霩	雨头 享字头 子 阝
霪	雨头 氵 爫 壬
霫	雨头 羽 白
霬	雨头 田 共
霭	雨头 讠 日 勹 亾
霮	雨头 氵 其 5
霯	雨头 癶 同字心 䒑
霰	雨头 龷 青字底 攵
霱	雨头 予 3 冂 八 口
露	雨头 足旁 各
霳	雨头 阝 夂 1 生
霴	雨头 云 隶字框 率字腰
霵	雨头 口 耳 戈
霶	雨头 氵 立无横 冖 方
霷	雨头 日 日 1 勿
霸	雨头 革 月
霹	雨头 尸 口 辛
霺	雨头 微字框 几
霻	雨头 曲 同字心 䒑
霼	雨头 云 气 米
霽	雨头 亠 丷 2 刀 卬字旁 4 乔字底 二
霾	雨头 豸 里
霿	雨头 予 3 夂 目
靀	雨头 艹 冖 1 豕
靁	雨头 田 田 田
靂	雨头 厂 禾 禾 止
靃	雨头 隹 隹
靄	雨头 言 日 勹 亾
靅	雨头 云 弗 目 八
靆	雨头 云 隶字框 率字腰 辶
靇	雨头 立 青字底 1 5 1 5 三
靈	雨头 口 口 口 工 人 人
靉	雨头 云 爫 冖 心 夂
靊	雨头 山 丰 丰 同字心 䒑
靋	雨头 氵 厂 禾 禾 止
靌	雨头 宀 斜玉 负字头 小 目 八
靍	雨头 隹 3 见二 三 5 灬
靎	雨头 金 3 见二 三 5 灬
靏	雨头 冖 隹 3 见二 三 5 灬
靐	雨头 田 雨头 田 雨头 田
靑	龶 冂 2 1
青	龶 青字底
靓	龶 青字底 见
靔	龶 青字底 气
靕	1 止 龶 青字底
靖	立 龶 青字底
靗	龶 青字底 光
靘	龶 青字底 负字头 巴
静	龶 青字底 负字头 争字底
靚	龶 青字底 目 儿
靛	龶 青字底 宀 定字底
靜	龶 青字底 爫 争字底
靝	龶 青字底 气 米
非	非
靟	非 毛
靠	告字头 口 非
靡	麻 非
面	面
靣	1 3 囗 口
靤	面 勹 巳
靥	厂 犬 面
靦	面 目 儿
靧	面 贵字头 目 八
靨	厂 日 青字底 犬 面
革	革
靪	革 丁
靫	革 又 4
靬	革 干
靭	革 刀 4
靮	革 勹 4
靯	革 土
靰	革 1 儿
靱	革 刀 4
靲	革 今
靳	革 斤
靴	革 亻 化字边
靵	革 5 里无日
靶	革 巴
靷	革 弓 2
靸	革 及
靹	革 冂 人
靺	革 1 木
靻	革 且
靼	革 日 1
靽	革 丷 举字底
靾	革 廿 5
靿	革 幺 力
鞀	革 刀 口
鞁	革 皮
鞂	革 禾
鞃	革 弓 厶
鞄	革 勹 巳
鞅	革 见二 大
鞆	革 1 冂 人
鞇	革 囗 大
鞈	革 亼 口
鞉	革 儿 率字腰
鞊	革 士 口
鞋	革 土 土
鞌	宀 女 革
鞍	革 宀 女
鞎	革 艮
鞏	工 几 4 革
鞐	革 卢字头 1 1 卜
鞑	革 大 辶
鞒	革 3 大 乔字底
鞓	革 口 王
鞔	革 负字头 口 儿
鞕	革 1 日 乂
鞖	革 爫 女
鞗	亻 2 夂 革
鞘	革 尚字头 青字底
鞙	革 口 青字底
鞚	革 穴 工
鞛	革 立 口
鞜	革 水 日
鞝	革 尚
鞞	革 白 3 十
鞟	革 享字头 子
鞠	革 勹 米
鞡	革 扌 立
鞢	革 廿 5 木
鞣	革 予 3 木
鞤	土 土 寸 革
鞥	革 亼 口 廾
鞦	革 禾 火
鞧	革 丷 酉
鞨	革 日 勹 亾
鞩	革 尚字头 青字底 刂
鞪	予 3 攵 革
鞫	革 勹 言
鞬	革 聿 廴
鞭	革 亻 1 日 乂
鞮	革 日 定字底
鞯	革 艹 左字框 2 子
鞰	革 日 皿
鞱	革 爫 臼
鞲	革 1 龷 冂 里无日
鞳	革 艹 亼 口
鞴	革 龷 3 甬字底
鞵	革 爫 幺 大
鞶	舟 殳 革
鞷	鬲 革
鞸	革 日 龷 十
鞹	革 享字头 子 阝
鞺	革 尚头 土
鞻	革 口 十 口 女
鞼	革 贵字头 目 八
鞽	革 3 大 口 冂 口
鞾	革 艹 1 贲字腰 举字底
鞿	革 幺 幺 戈 人
韀	革 广 叚右角 临字旁 与无横 灬
韁	革 1 田 1 田 1
韂	革 负字头 厂 八 言
韃	革 土 羊 辶
韄	革 艹 隹 又
韅	革 日 幺 幺 灬
韆	革 覀 大 巳 辶
韇	革 士 罒 目 八
韈	革 艹 罒 戊 4
韉	革 艹 广 叚右角 临字旁 与无横 灬
韊	革 艹 见二 二 冂 二 束 丷
韋	候右角 2 口 㐄
韌	候右角 2 口 㐄 刀 4
韍	候右角 2 口 㐄 左字框 又 4
韎	候右角 2 口 㐄 1 木
韏	龹 候右角 2 口 㐄
韐	候右角 2 口 㐄 亼 口
韑	光 候右角 2 口 㐄
韒	候右角 2 口 㐄 尚字头 青字底
韓	十 早 候右角 2 口 㐄
韔	候右角 2 口 㐄 1 2 三 畏字底
韕	候右角 2 口 㐄 享字头 子
韖	候右角 2 口 㐄 予 3 木
韗	候右角 2 口 㐄 冖 1 日 十
韘	候右角 2 口 㐄 廿 5 木
韙	日 定字底 候右角 2 口 㐄
韚	候右角 2 口 㐄 革
韛	候右角 2 口 㐄 龷 3 甬字底
韜	候右角 2 口 㐄 爫 臼
韝	候右角 2 口 㐄 1 龷 冂 里无日
韞	候右角 2 口 㐄 日 皿
韟	候右角 2 口 㐄 白 大 十
韠	候右角 2 口 㐄 日 龷 十
韡	候右角 2 口 㐄 艹 1 贲字腰 举字底
韢	候右角 2 口 㐄 1 日 虫无口 心
韣	候右角 2 口 㐄 罒 勹 虫
韤	候右角 2 口 㐄 艹 罒 戊 4
韥	候右角 2 口 㐄 士 罒 目 八
韦	韦
韧	韦 刀 4
韨	韦 左字框 又 4
韩	十 早 韦
韪	日 定字底 韦
韫	韦 日 皿
韬	韦 爫 臼
韭	非 1
韮	艹 非 1
韯	十 戈 非 1
韰	歺 又 非 1
韱	人 人 戈 非 1
韲	亠 丷 2 刀 卬字旁 4 非 1
音	音
韴	音 1 巾
韵	音 勹 冫
韶	音 刀 口
韷	音 屮 凵
韸	音 夂 丰
韹	音 白 王
韺	音 艹 见二 大
韻	音 口 目 八
韼	音 夂 丰 辶
韽	今 酉 音
韾	士 眉字框 殳 音
響	乡 4 即字旁 阝 音
頀	音 艹 隹 又
頁	1 3 目 八
頂	丁 1 3 目 八
頃	比字旁 1 3 目 八
頄	九 1 3 目 八
項	工 1 3 目 八
順	川 1 3 目 八
頇	干 1 3 目 八
須	彡 1 3 目 八
頉	止 1 3 目 八
頊	斜玉 1 3 目 八
頋	厂 㔾 1 3 目 八
頌	八 厶 1 3 目 八
頍	支 1 3 目 八
頎	斤 1 3 目 八
頏	亠 几 1 3 目 八
預	予 1 3 目 八
頑	二 儿 1 3 目 八
頒	八 刀 1 3 目 八
頓	1 屯无横 1 3 目 八
頔	由 1 3 目 八
頕	卢字头 口 1 3 目 八
頖	丷 夫三 1 3 目 八
頗	皮 1 3 目 八
領	今 4 1 3 目 八
頙	1 止 1 3 目 八
頚	又 土 1 3 目 八
頛	耒 1 3 目 八
頜	亼 口 1 3 目 八
頝	六 乂 1 3 目 八
頞	宀 女 1 3 目 八
頟	各 1 3 目 八
頠	负字头 厂 㔾 1 3 目 八
頡	士 口 1 3 目 八
頢	舌 1 3 目 八
頣	臣 1 3 目 八
頤	颐字旁 1 3 目 八
頥	2 臣 1 3 目 八
頦	亥 1 3 目 八
頧	3 㠯 1 3 目 八
頨	羽 1 3 目 八
頩	䒑 廾 1 3 目 八
頪	米 1 3 目 八
頫	儿 率字腰 1 3 目 八
頬	夫 丷 1 3 目 八
頭	同字心 䒑 1 3 目 八
頮	水 廾 1 3 目 八
頯	然左角 廾 1 3 目 八
頰	大 人 人 1 3 目 八
頱	爫 寸 1 3 目 八
頲	壬 廴 1 3 目 八
頳	土 亦字底 1 3 目 八
頴	匕 示 1 3 目 八
頵	聿三 3 口 1 3 目 八
頶	告字头 口 1 3 目 八
頷	今 口 1 3 目 八
頸	1 巛 工 1 3 目 八
頹	禾 儿 1 3 目 八
頺	禾 乃 1 3 目 八
頻	止 步字底 1 3 目 八
頼	束 1 3 目 八
頽	禾 几 1 3 目 八
頾	彡 1 3 目 八 止 匕
頿	彡 止 匕 1 3 目 八
顀	隹 1 3 目 八
顁	宀 定字底 1 3 目 八
顂	木框 人 人 1 3 目 八
顃	火 火 1 3 目 八
顄	了 率字腰 凵 1 3 目 八
顅	户 青字底 1 3 目 八
顆	日 木 1 3 目 八
顇	亠 人 人 十 1 3 目 八
顈	匕 糸 1 3 目 八
顉	金 1 3 目 八
顊	3 㠯 十 1 3 目 八
顋	田 心 1 3 目 八
題	日 定字底 1 3 目 八
額	宀 各 1 3 目 八
顎	口 口 二 5 1 3 目 八
顏	文 厂 彡 1 3 目 八
顐	冖 1 日 十 1 3 目 八
顑	戊 同字心 1 3 目 八
顒	日 禺下 1 3 目 八
顓	山 而 1 3 目 八
顔	立无横 厂 彡 1 3 目 八
顕	日 业 1 3 目 八
顖	囱字框 乂 心 1 3 目 八
顗	山 同字心 䒑 1 3 目 八
願	厂 白 小 1 3 目 八
顙	又 又 又 木 1 3 目 八
顚	匕 目 5 八 1 3 目 八
顛	十 具字头 八 1 3 目 八
顜	1 龷 冂 里无日 1 3 目 八
顝	骨 1 3 目 八
類	米 犬 1 3 目 八
顟	羽 全字头 彡 1 3 目 八
顠	覀 示 1 3 目 八
顡	立 豕省 1 3 目 八
顢	廿 巾 入 入 1 3 目 八
顣	戊 卢字头 1 小 1 3 目 八
顤	土 土 土 1 儿 1 3 目 八
顥	日 享字头 小 1 3 目 八
顦	隹 灬 1 3 目 八
顧	户 隹 1 3 目 八
顨	1 3 目 八 1 3 目 八 丌
顩	亼 口 口 人 人 1 3 目 八
顪	止 戊 1 步字底 1 3 目 八
顫	亠 囗 口 日 1 1 3 目 八
顬	雨头 而 1 3 目 八
顭	艹 罒 冖 夕 1 3 目 八
顮	宀 1 步字底 目 八 1 3 目 八
顯	日 幺 幺 灬 1 3 目 八
顰	止 步字底 1 3 目 八 白 3 十
顱	虍 田 皿 1 3 目 八
顲	火 火 亠 囗 口 1 3 目 八
顳	耳 耳 耳 1 3 目 八
顴	艹 口 口 隹 1 3 目 八
页	页
顶	丁 页
顷	比字旁 页
顸	干 页
项	工 页
顺	川 页
须	彡 页
顼	王 页
顽	二 儿 页
顾	厂 㔾 页
顿	1 屯无横 页
颀	斤 页
颁	八 刀 页
颂	八 厶 页
颃	亠 几 页
预	予 页
颅	卢字头 尸 页
领	今 4 页
颇	皮 页
颈	经右角 工 页
颉	士 口 页
颊	夫 丷 页
颋	壬 廴 页
颌	亼 口 页
颍	匕 水 页
颎	匕 火 页
颏	亥 页
颐	颐字旁 页
频	止 步字底 页
颒	水 廾 页
颓	禾 几 页
颔	今 口 页
颕	匕 示 页
颖	匕 禾 页
颗	日 木 页
题	日 定字底 页
颙	日 禺下 页
颚	口 口 二 5 页
颛	山 而 页
颜	立无横 厂 彡 页
额	宀 各 页
颞	耳 又 又 页
颟	艹 两 页
颠	十 具字头 八 页
颡	又 又 又 木 页
颢	日 享字头 小 页
颣	米 糸 页
颤	亠 囗 口 日 1 页
颥	雨头 而 页
颦	止 步字底 页 白 3 十
颧	艹 口 口 隹 页
風	风省 3 虫
颩	风省 3 虫 彡
颪	1 卜 风省 3 虫
颫	风省 3 虫 夫
颬	风省 3 虫 牙
颭	风省 3 虫 卢字头 口
颮	风省 3 虫 勹 巳
颯	立 风省 3 虫
颰	风省 3 虫 左字框 又 4
颱	风省 3 虫 厶 口
颲	风省 3 虫 歹 刂
颳	风省 3 虫 舌
颴	风省 3 虫 卧人 疋
颵	风省 3 虫 尚字头 青字底
颶	风省 3 虫 具字头 八
颷	风省 3 虫 火 火
颸	风省 3 虫 田 心
颹	风省 3 虫 候右角 2 口 㐄
颺	风省 3 虫 日 1 勿
颻	爫 缶 风省 3 虫
颼	风省 3 虫 臼 2 又
颽	山 同字心 䒑 风省 3 虫
颾	风省 3 虫 又 4 虫
颿	1 2 举字底 5 灬 风省 3 虫
飀	风省 3 虫 留字头 田
飁	羽 白 风省 3 虫
飂	风省 3 虫 羽 全字头 彡
飃	风省 3 虫 覀 示
飄	覀 示 风省 3 虫
飅	风省 3 虫 1 临字旁 匚 叚右角 田
飆	犬 犬 犬 风省 3 虫
飇	风省 3 虫 犬 犬 犬
飈	风省 3 虫 火 火 火
飉	风省 3 虫 大变 丷 日 小
飊	火 火 火 风省 3 虫
飋	风省 3 虫 王 王 心 3
飌	艹 口 口 隹 风省 3 虫
飍	风省 3 虫 风省 3 虫 风省 3 虫
风	风省 乂
飏	风省 乂 5 横两撇
飐	风省 乂 卢字头 口
飑	风省 乂 勹 巳
飒	立 风省 乂
飓	风省 乂 具字头 八
飔	风省 乂 田 心
飕	风省 乂 臼 2 又
飖	爫 缶 风省 乂
飗	风省 乂 留字头 田
飘	覀 示 风省 乂
飙	犬 犬 犬 风省 乂
飚	风省 乂 火 火 火
飛	飞 3 乔字底 飞
飜	3 米 田 飞 3 乔字底 飞
